	Texte contient	Type	Entité correcte	motif
Atlantique	Organisation du traité de l'Atlantique nord	Institutions	Organisation du traité de l'Atlantique nord (OTAN)	corrections
Atlantique	traité de l'Atlantique nord	Institutions	Organisation du traité de l'Atlantique nord (OTAN)	corrections
OTAN	OTAN	Institutions	Organisation du traité de l'Atlantique nord (OTAN)	acronyme
Nations	Nations unies	Institutions	Organisation des Nations unies (ONU)	acronyme
ONU	ONU	Institutions	Organisation des Nations unies (ONU)	acronyme
FMI	FMI	Institutions	Fonds monétaire international (FMI)	acronyme
				
// Personnalités				
Gaulle	de Gaulle	Personnalités	Charles de Gaulle	correction
Fonds	Fonds monétaire international	Institutions	Fonds monétaire international (FMI)	correction
État	coup d'État	a_ajouter	Coup d'État	
Hassan II du Maroc	Hassan II du Maroc	Personnalités	Hassan II	correction
Majesté Hassan II	Majesté Hassan II	Personnalités	Hassan II	
Reagan	Reagan	Personnalités	Ronald Reagan	
Marx	Marx	Personnalités	Karl Marx	alias
Gorbatchev	Gorbatchev	Personnalités	Mikhaïl Gorbatchev	alias
Mao Tsé-Toung	Mao Tsé-Toung	Personnalités	Mao Zedong	alias
Mao	Mao	Personnalités	Mao Zedong	alias
Le Pen	Mme Le Pen	Personnalités	Marine Le Pen	correction
Le Pen	M. Le Pen	Personnalités	Jean-Marie Le Pen	correction
Pinochet	Pinochet	Personnalités	Augusto Pinochet	alias
BHL	BHL	Personnalités	Bernard-Henri Lévy	alias
Giscard d'Estaing	Giscard d'Estaing	Personnalités	Valery Giscard d'Estaing	alias
Nasser	Nasser	Personnalités	Gamal Abdel Nasser	alias
Allende	Allende	Personnalités	Salvadore Allende	alias
Jean-Paul II	Jean-Paul II	Personnalités	Jean Paul II	correction
Ben Laden	Ben Laden	Personnalités	Oussama Ben Laden	alias
Malcolm	Malcolm X	Personnalités	Malcolm X	correction
Fidel	Fidel	Personnalités	Fidel Castro	alias
Che Guevara	Che Guevara	Personnalités	Ernesto Che Guevara	alias
Che	Che	Personnalités	Ernesto Che Guevara	alias
Lula da Silva	Lula da Silva	Personnalités	Luiz Inácio Lula da Silva	alias
Lula	Lula	Personnalités	Luiz Inácio Lula da Silva	alias
Abdel xxx Sissi	Abdel Fatah Sissi	Personnalités	Abdel Fattah Al-Sissi	correction
				
// Partis politiques avec nom d'usage ou disparus				
Hamas	Hamas	Partis politiques	Mouvement de la résistance islamique (Hamas)	alias
OLP	OLP	Partis politiques	Organisation de libération de la Palestine (OLP)	alias
Hezbollah	Hezbollah	Partis politiques	Parti de Dieu (Hezbollah)	alias
NPA	NPA	Partis politiques	Nouveau Parti anticapitaliste (NPA)	alias
PS	PS	Partis politiques	Parti socialiste (PS)	alias
Parti socialiste	Parti socialiste	Partis politiques	Parti socialiste (PS)	alias
PC	communiste français	Partis politiques	Parti communiste français (PCF)	alias
Front	Front national	Partis politiques	Front national (FN)	alias
Front national	Front national	Partis politiques	Front national (FN)	correction
Khmers	Khmers rouges	Partis politiques	Khmers rouges	correction
Conseil	Conseil national de la Résistance	Partis politiques	Conseil national de la Résistance (CNR)	correction
Parti	Parti populaire français	Partis politiques	Parti populaire français (PPF)	correction
